iter	RMSE
0	2.091313596
1	2.071385372
2	2.048215508
3	2.031997187
4	2.012261705
5	1.99501789
6	1.979033249
7	1.963404256
8	1.950815249
9	1.936534331
10	1.921813718
11	1.906290055
12	1.893033969
13	1.879307644
14	1.866777661
15	1.853985963
16	1.842688484
17	1.832255789
18	1.820435016
19	1.810277913
20	1.79925782
21	1.786142381
22	1.77625322
23	1.766800731
24	1.756328875
25	1.746251186
26	1.73870045
27	1.730047173
28	1.718203386
29	1.708612349
30	1.696982639
31	1.684226504
32	1.67818728
33	1.666973275
34	1.660024436
35	1.65395099
36	1.645392347
37	1.637319303
38	1.631896966
39	1.622486192
40	1.616214386
41	1.609493702
42	1.603828815
43	1.595538174
44	1.589250907
45	1.582956797
46	1.574621469
47	1.568757676
48	1.56039702
49	1.55322887
50	1.548180044
51	1.542272004
52	1.537194344
53	1.530952076
54	1.525262363
55	1.520942649
56	1.517028178
57	1.513295491
58	1.505270757
59	1.498738938
60	1.491645032
61	1.487594395
62	1.48182303
63	1.475589978
64	1.469064012
65	1.46273883
66	1.456841955
67	1.452292601
68	1.448655119
69	1.445380036
70	1.441196435
71	1.436826944
72	1.43185819
73	1.428413198
74	1.424860664
75	1.420158512
76	1.415715205
77	1.412539711
78	1.408234323
79	1.402703873
80	1.398567203
81	1.395537155
82	1.392790928
83	1.391270298
84	1.388569412
85	1.38648722
86	1.383386103
87	1.38129786
88	1.378035871
89	1.374715873
90	1.372313293
91	1.369435537
92	1.36663842
93	1.363372107
94	1.359333842
95	1.355843996
96	1.352592498
97	1.350523353
98	1.347384242
99	1.344996059
100	1.341371603
101	1.338901678
102	1.335342159
103	1.332142895
104	1.328266728
105	1.325356221
106	1.321192624
107	1.31825271
108	1.314523859
109	1.310695962
110	1.309590524
111	1.307792255
112	1.305759371
113	1.30290263
114	1.300523717
115	1.297944178
116	1.295603747
117	1.293447583
118	1.290720706
119	1.289033966
120	1.284775958
121	1.280591691
122	1.277658008
123	1.275670436
124	1.273657628
125	1.270732046
126	1.268757761
127	1.266576214
128	1.264884563
129	1.26286139
130	1.259202987
131	1.257479996
132	1.254607449
133	1.252526493
134	1.25023914
135	1.248160204
136	1.245092539
137	1.242887972
138	1.239846581
139	1.236976111
140	1.234060139
141	1.231675076
142	1.229923401
143	1.228112272
144	1.226082303
145	1.224295462
146	1.22109939
147	1.21895879
148	1.216611127
149	1.214555164
150	1.212825021
151	1.209986385
152	1.207442935
153	1.206226724
154	1.203937979
155	1.202351661
156	1.200014903
157	1.198215506
158	1.196009878
159	1.194895775
160	1.193249142
161	1.1918068
162	1.189894388
163	1.187996379
164	1.186848592
165	1.184791498
166	1.183090353
167	1.180644431
168	1.178637293
169	1.177235083
170	1.175097184
171	1.173140069
172	1.170805553
173	1.169204487
174	1.167482845
175	1.16561401
176	1.163572875
177	1.161359314
178	1.159009933
179	1.155983239
180	1.154814867
181	1.152640479
182	1.150209156
183	1.148769498
184	1.147268568
185	1.144740374
186	1.142766618
187	1.141275001
188	1.139656545
189	1.137431333
190	1.136221469
191	1.134570881
192	1.132941789
193	1.131029941
194	1.129347924
195	1.127582991
