iter	Passed	Remaining
0	25	25507
1	29	14487
2	59	19792
3	89	22292
4	114	22756
5	149	24781
6	161	22844
7	184	22848
8	189	20868
9	213	21095
10	229	20638
11	252	20801
12	273	20747
13	282	19919
14	327	21512
15	333	20493
16	354	20483
17	361	19705
18	374	19312
19	436	21388
20	464	21632
21	470	20898
22	497	21150
23	501	20377
24	505	19704
25	515	19325
26	531	19137
27	551	19152
28	583	19529
29	587	19009
30	614	19200
31	638	19325
32	645	18921
33	711	20217
34	714	19709
35	747	20022
36	779	20300
37	806	20423
38	820	20221
39	854	20509
40	888	20789
41	903	20607
42	935	20821
43	948	20614
44	962	20421
45	974	20211
46	986	19998
47	1003	19895
48	1015	19712
49	1027	19530
50	1040	19355
51	1052	19189
52	1081	19318
53	1144	20047
54	1162	19978
55	1168	19692
56	1204	19926
57	1241	20168
58	1270	20269
59	1301	20389
60	1304	20078
61	1325	20060
62	1340	19931
63	1344	19658
64	1373	19752
65	1393	19723
66	1411	19652
67	1432	19637
68	1452	19603
69	1457	19359
70	1470	19239
71	1479	19069
72	1483	18839
73	1522	19047
74	1562	19270
75	1583	19257
76	1615	19362
77	1638	19369
78	1703	19865
79	1744	20060
80	1768	20066
81	1786	19995
82	1790	19784
83	1817	19817
84	1832	19727
85	1844	19604
86	1848	19397
87	1871	19399
88	1904	19489
89	1908	19297
90	1915	19138
91	1943	19184
92	1971	19228
93	1975	19043
94	1990	18959
95	2021	19038
96	2046	19053
97	2066	19018
98	2071	18852
99	2093	18843
100	2100	18699
101	2128	18737
102	2131	18566
103	2158	18597
104	2190	18674
105	2194	18510
106	2224	18569
107	2240	18506
108	2262	18493
109	2300	18612
110	2304	18455
111	2315	18360
112	2342	18384
113	2353	18287
114	2385	18358
115	2413	18394
116	2420	18267
117	2451	18327
118	2476	18333
119	2482	18203
120	2529	18372
121	2535	18250
122	2568	18312
123	2580	18232
124	2587	18115
125	2600	18039
126	2636	18123
127	2678	18248
128	2700	18231
129	2705	18106
130	2750	18244
131	2807	18461
132	2812	18335
133	2871	18559
134	2878	18440
135	2892	18374
136	2897	18251
137	2931	18309
138	2936	18190
139	2979	18304
140	3013	18356
141	3018	18235
142	3034	18184
143	3042	18084
144	3049	17982
145	3058	17893
146	3070	17815
147	3078	17723
148	3088	17638
149	3107	17610
150	3113	17508
151	3118	17399
152	3127	17314
153	3166	17396
154	3172	17297
155	3185	17232
156	3193	17149
157	3206	17088
158	3219	17029
159	3245	17038
160	3255	16966
161	3269	16914
162	3275	16821
163	3283	16738
164	3330	16853
165	3341	16786
166	3381	16868
167	3387	16777
168	3412	16780
169	3419	16692
170	3425	16607
171	3433	16527
172	3443	16461
173	3455	16401
174	3467	16345
175	3479	16289
176	3490	16230
177	3500	16164
178	3509	16098
179	3519	16034
180	3529	15971
181	3546	15940
182	3561	15902
183	3568	15827
184	3599	15857
185	3616	15825
186	3622	15747
187	3637	15709
188	3662	15717
189	3707	15805
190	3714	15734
191	3779	15907
192	3796	15876
193	3835	15935
194	3845	15875
195	3901	16005
196	3952	16111
197	3964	16057
198	4003	16114
199	4024	16098
200	4060	16141
201	4068	16072
202	4100	16098
