,id,prediction
0,0,0.0052000163
1,1,-2.8980002
2,2,-0.57600003
3,3,-5.8472
4,4,-1.188
5,5,-3.025
6,6,-5.192
7,7,-4.3946
8,8,-6.4444
9,9,-1.192
10,10,-2.038
11,11,-5.1980004
12,12,-3.204
13,13,-3.0642
14,14,-6.0232
15,15,-1.95
16,16,-0.48400003
17,17,-2.869
18,18,-3.8195999
19,19,-2.218
20,20,-6.660001
21,21,-2.8
22,22,-2.7542
23,23,-1.8306
24,24,-4.74
25,25,-3.5760002
26,26,-1.8151999
27,27,-2.206
28,28,-2.6580002
29,29,-3.1940002
30,30,-2.936
31,31,-1.8560002
32,32,-2.6850002
33,33,-1.9799999
34,34,-5.1439996
35,35,-4.2808
36,36,-2.762
37,37,-2.1286
38,38,-2.822
39,39,-5.6128
40,40,-4.653
41,41,-3.08
42,42,-2.6601999
43,43,-1.7739999
44,44,-1.8299999
45,45,-2.218
46,46,-2.2106
47,47,-2.6816
48,48,-2.4099998
49,49,-4.0239997
50,50,-4.9992
51,51,-2.084
52,52,-5.8472
53,53,-3.5208
54,54,-6.25
55,55,-1.374
56,56,-3.3799999
57,57,-4.597
58,58,-5.9480004
59,59,-1.392
60,60,-6.7439995
61,61,-0.822
62,62,-4.328
63,63,-1.102
64,64,-3.3419998
65,65,-3.1139998
66,66,-3.9492002
67,67,0.6
68,68,0.638
69,69,-4.658
70,70,-3.6404
71,71,-3.2760003
72,72,-1.5439999
73,73,-1.9178
74,74,-2.7879999
75,75,-0.43
76,76,-4.2952
77,77,-6.253999
78,78,-2.158
79,79,-2.7660003
80,80,-1.3498
81,81,-1.0940001
82,82,-0.518
83,83,-2.392
84,84,-3.6492
85,85,-1.4496
86,86,-7.7246003
87,87,-0.992
88,88,-2.816
89,89,-3.7021995
90,90,-2.898
91,91,-2.366
92,92,-6.7896004
93,93,-1.858
94,94,-4.976
95,95,-1.316
96,96,-3.962
97,97,-6.634
98,98,-3.425
99,99,-2.486
100,100,-4.2988
101,101,-4.668
102,102,-0.682
103,103,-0.724
104,104,-4.6892
105,105,-1.6660001
106,106,-2.588
107,107,-3.0672002
108,108,-1.9959999
109,109,0.029199982
110,110,-2.02
111,111,-2.546
112,112,-5.5323997
113,113,-2.596
114,114,-4.736
115,115,-1.5526
116,116,-4.8511996
117,117,-2.382
118,118,-3.8919997
119,119,-4.4189997
120,120,-2.2660003
121,121,-2.564
122,122,-4.868
123,123,-1.8919998
124,124,-4.9700003
125,125,0.031999987
126,126,-4.1888
127,127,-7.3822
128,128,-0.356
129,129,-3.632
130,130,-2.244
131,131,-3.6153998
132,132,-2.224
133,133,-1.46
134,134,-3.564
135,135,-5.1549997
136,136,-1.0060002
137,137,-2.3918002
138,138,-2.932
139,139,-4.0512
140,140,-1.6819999
141,141,-3.5972
142,142,-1.24
143,143,-4.3472
144,144,-2.406
145,145,-3.3784
146,146,-1.156
147,147,-2.1288
148,148,-0.602
149,149,-1.852
150,150,-0.3168
151,151,-3.3
152,152,-3.5760002
153,153,-5.1312
154,154,-1.362
155,155,-0.64399993
156,156,-1.444
157,157,-0.08200001
158,158,-5.5834
159,159,-2.116
160,160,-0.81000006
161,161,-3.788
162,162,-4.7664
163,163,-3.5924003
164,164,-1.856
165,165,-0.954
166,166,-4.9999995
167,167,-4.2952
168,168,-0.858
169,169,-5.7419996
170,170,-4.118
171,171,-1.084
172,172,-4.4748
173,173,-1.24
174,174,-0.524
175,175,-4.2952
176,176,-2.6480002
177,177,-2.306
178,178,-3.7608
179,179,-1.7681999
180,180,-2.3
181,181,-2.566
182,182,-3.4378
183,183,-0.37399998
184,184,-6.3199997
185,185,-4.0192003
186,186,-0.834
187,187,-4.752
188,188,-1.9359999
189,189,-1.7439998
190,190,-2.788
191,191,-2.868
192,192,-2.4082
193,193,-1.9760001
194,194,-4.498
195,195,-4.7696004
196,196,-5.9111996
197,197,-4.9992
198,198,-2.464
199,199,-2.45
200,200,-1.6959999
201,201,-1.52
202,202,-0.568
203,203,-3.2400002
204,204,-0.15380001
205,205,-1.3620001
206,206,-1.8273998
207,207,-3.256
208,208,-3.4129996
209,209,-1.9679998
210,210,0.204
211,211,-1.9059998
212,212,-3.8439999
213,213,-1.8220001
214,214,-2.866
215,215,-2.994
216,216,-2.8378
217,217,-3.182
218,218,-3.5540004
219,219,-0.8568001
220,220,-7.8104005
221,221,-2.5772002
222,222,-5.1
223,223,-2.8416
224,224,-1.1308
225,225,-3.6457996
0,226,-3.9340005
1,227,-1.924
2,228,-1.9719999
3,229,-5.2214
4,230,-3.096
5,231,-1.6738001
6,232,-4.473
7,233,0.698
8,234,-3.9829998
9,235,-3.4508
10,236,-1.7288
11,237,-0.26599997
12,238,0.93200004
13,239,-2.776
14,240,-1.484
15,241,-2.376
16,242,-1.676
17,243,-3.2444
18,244,-1.414
19,245,-3.9379997
20,246,-2.2008
21,247,-5.718
22,248,-5.0228
23,249,-3.448
24,250,-4.7125998
25,251,-1.098
26,252,-2.336
27,253,0.204
28,254,-4.9202
29,255,-1.718
30,256,-5.7152
31,257,-3.6897998
32,258,-2.7802002
33,259,-6.8173995
34,260,-4.7400002
35,261,-5.0880003
36,262,-3.106
37,263,-5.7375994
38,264,-3.6526
39,265,-2.074
40,266,-4.238
41,267,-3.6219997
42,268,-3.4720001
43,269,-0.198
44,270,-3.7140002
45,271,-3.4440002
46,272,-7.1692
47,273,-2.4564002
48,274,-3.9526
49,275,-5.3226
50,276,0.698
51,277,-2.15
52,278,-1.362
53,279,-2.382
54,280,-1.0539999
55,281,-2.0440001
56,282,-1.6415999
57,283,-2.7280002
58,284,-4.2604
59,285,-1.9257997
60,286,-2.936
61,287,-0.946
62,288,-4.4364004
63,289,-6.5334
64,290,-4.6656
65,291,-3.1700003
66,292,-4.8244004
67,293,-1.517
68,294,-2.1060002
69,295,-2.2020001
70,296,-4.2604
71,297,-7.686
72,298,0.032000016
73,299,-7.1304
74,300,-4.7125998
75,301,-1.6980002
76,302,-1.9988
77,303,-2.956
78,304,-0.754
79,305,-2.3059998
80,306,-5.08
81,307,-1.692
82,308,-3.2
83,309,-3.096
84,310,-4.4942
85,311,-1.9026
86,312,-2.6419997
87,313,-4.8348
88,314,-1.268
89,315,-2.5560002
90,316,-4.9639997
91,317,-2.9598
92,318,-1.885
93,319,-6.8919997
94,320,-0.98
95,321,-7.9586
96,322,-2.3667998
97,323,-2.1792
98,324,-6.6099997
99,325,-3.8367996
100,326,0.82799995
101,327,-1.72
102,328,-1.8092
103,329,-2.4192002
104,330,-3.1600003
105,331,-1.89
106,332,-0.75600004
107,333,-2.4839997
108,334,-2.9380002
109,335,-2.436
110,336,-4.9712
111,337,0.059999995
112,338,-3.6579998
113,339,-5.858
114,340,-3.7954
115,341,-0.25399998
116,342,-0.862
117,343,-2.956
118,344,-1.6638
119,345,-2.102
120,346,-2.02
121,347,-2.708
122,348,-2.316
123,349,-1.0879999
124,350,-1.244
125,351,-4.988
126,352,-1.148
127,353,-1.154
128,354,-1.6960001
129,355,-2.647
130,356,-0.46800002
131,357,-3.3813999
132,358,-4.3532
133,359,-3.454
134,360,-4.222
135,361,-2.0512002
136,362,-2.9720001
137,363,-2.8260002
138,364,-3.7094002
139,365,-0.402
140,366,-3.5960002
141,367,-2.9100003
142,368,-2.9819999
143,369,-2.7274003
144,370,-0.21400002
145,371,-2.6419997
146,372,-4.1402
147,373,-3.684
148,374,-1.416
149,375,-3.8237998
150,376,-3.4959998
151,377,-3.454
152,378,-2.0506
153,379,-4.5509996
154,380,-2.708
155,381,-0.22400002
156,382,-2.9919999
157,383,-3.5928001
158,384,-4.71
159,385,-2.2020001
160,386,-1.1600001
161,387,-2.7330003
162,388,-1.076
163,389,-5.8312
164,390,-5.476
165,391,-2.7498002
166,392,-2.5182002
167,393,-1.5519999
168,394,-2.498
